ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
ProPaTa-domake-1,,ProPaTa,domake,**ʔa-,**ʔa-,ʔ a,,,1,,^ * * ʔ a -$,default,**ʔa-,"do,make"
pP-domake-1,,pP,domake,*ʔa-,*ʔa-,ʔ a,,,1,,^ * ʔ a -$,default,**ʔa-,"do,make"
pT-domake-1,,pT,domake,*a-,*a-,a,,,1,,^ * a -$,default,**ʔa-,"do,make"
ProPaTa-transsuffix-1,,ProPaTa,transsuffix,**-(w)a,**-a,a,,,1,,^ **- a $,default,**-(w)a,trans. suffix
pP-transsuffix-1,,pP,transsuffix,*-(w)a,*-a,a,,,1,,^ *- a $,default,**-(w)a,trans. suffix
pT-transsuffix-1,,pT,transsuffix,*-a,*-a,a,,,1,,^ *- a $,default,**-(w)a,trans. suffix
ProPaTa-big-1,,ProPaTa,big,**ʔaNi,**ʔaNi,ʔ a !N/n i,,,2,,^ * * ʔ a N i $,default,**ʔaNi,big
pP-big-1,,pP,big,*ʔani,*ʔani,ʔ a n i,,,2,,^ * ʔ a n i $,default,**ʔaNi,big
pT-big-1,,pT,big,*ari,*ari,a r i,,,2,,^ * a r i $,default,**ʔaNi,big
ProPaTa-fishpoison-1,,ProPaTa,fishpoison,**ʔas̥a,**ʔas̥a,ʔ a ʃ a,,,3,,^ * * ʔ a s̥ a $,default,**ʔas̥a,fish poison
pP-fishpoison-1,,pP,fishpoison,*ʔaš̥a,*ʔaš̥a,ʔ a ʃ a,,,3,,^ * ʔ a š̥ a $,default,**ʔas̥a,fish poison
pP-fishpoison-2,,pP,fishpoison,*ʔaš̥a-n-,*ʔaš̥a-n-,ʔ a ʃ a + n,,,3,,^ * ʔ a š̥ a - n -$,default,**ʔas̥a,to fish with fish poison
pT-fishpoison-1,,pT,fishpoison,*ac̥a,*ac̥a,a ʈʂ a,,,3,,^ * a c̥ a $,default,**ʔas̥a,fish poison
