ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
domake,"do,make",734,MAKE,1
transsuffix,trans. suffix,,,1
big,big,1202,BIG,2
fishpoison,fish poison,348,FISH POISON,3
tapir,tapir,312,TAPIR,4
wifewoman,"wife,woman",962,WOMAN,5
porcupine,porcupine,2510,PORCUPINE,6
warm,warm,1232,WARM,7
taildog,"tail,dog",2009,DOG,8
givetake,"give,take",1447,GIVE,9
suffer,suffer,1101,SUFFER,10
i,I,1209,I,11
mother,mother,1216,MOTHER,12
bigabundant,"big,abundant",1202,BIG,13
demonstrative,demonstrative,,,14
tocough,to cough,879,COUGH,15
sunmoon,"sun,moon",1343,SUN,16
child,child,2099,CHILD,17
toplant,to plant,1486,PLANT (SOMETHING),18
lake,lake,624,LAKE,19
sweet,sweet,717,SWEET,20
togetput,"to get,put",694,GET,21
skin,skin,763,SKIN,22
wasp,wasp,1517,WASP,23
tobring,to bring,692,BRING,24
faceforehead,"face,forehead",1560,FACE,25
todescendgodown,"to descend,go down",2014,GO DOWN (DESCEND),26
ant,ant,587,ANT,27
nail,nail,1896,FINGERNAIL OR TOENAIL,28
towet,to wet,1726,WET,29
fire,fire,221,FIRE,30
largeend,large end,,,31
goacross,go across,,,32
hopdance,"hop,dance",1879,DANCE,33
swallow,swallow,897,SWALLOW,34
fornicatecopulate,"fornicate,copulate",549,COPULATE,35
sucknurse,"suck,nurse",1421,SUCK,36
legkneeankle,"leg,knee,ankle",1371,KNEE,37
monkey,monkey,1350,MONKEY,38
flute,flute,777,FLUTE,39
pound,pound,354,POUND,40
snake,snake,730,SNAKE,41
imperativesuffix,imperative suffix,,,43
pronominalpossessivesuffix,pronominal possessive suffix,,,44
3rdpersonpronoun,3rd person pronoun,262,HE OR SHE OR IT,45
tongue,tongue,1205,TONGUE,46
tree,tree,906,TREE,47
blood,blood,946,BLOOD,48
white,white,1335,WHITE,49
foot,foot,1301,FOOT,50
pineapple,pineapple,2440,PINEAPPLE,51
macaw,macaw,1630,MACAW,52
desiderativesuffix,desiderative suffix,,,53
hole,hole,1667,HOLE,54
uncle,uncle,1327,UNCLE,55
gray,gray,153,GREY,56
wildturkeysp,wild turkey sp.,,,57
togo,to go,695,GO,58
mouth,mouth,674,MOUTH,59
sharp,sharp,1396,SHARP,60
negativesuffix,negative suffix,,,61
hillpeak,"hill,peak",614,HILL,62
earth,earth,1228,EARTH (SOIL),63
piranha,piranha,317,PIRANHA,64
todie,to die,1494,DIE,65
choppermortar,"chopper,mortar",224,MORTAR,66
achiote,achiote,349,ACHIOTE,67
bad,bad,1292,BAD,68
tell,tell,1711,TELL,69
hand,hand,1277,HAND,70
night,night,1233,NIGHT,71
thou,thou,1215,THOU,72
todry,to dry,2015,MAKE DRY,73
togetwetbewet,"to get wet,be wet",2324,GET WET,74
water,water,948,WATER,75
standgo,"stand,go",1442,STAND,76
deliciousasfruits,delicious (as fruits),1813,TASTY,77
fleshmeat,"flesh,meat",634,MEAT,78
putintoenter,"put in,to enter",749,ENTER,80
augmentativesuffix,augmentative suffix,,,81
rawgreenbitter,"raw,green,bitter",1425,GREEN,82
toucan,toucan,308,TOUCAN,83
arrow,arrow,977,ARROW,84
owl,owl,735,OWL,85
butterfly,butterfly,1791,BUTTERFLY,86
arm,arm,1673,ARM,87
siblingofoppositesex,sibling of opposite sex,,,88
totie,to tie,1917,TIE,89
intestines,intestines,1991,INTESTINES,90
hairfeathers,"hair,feathers",1040,HAIR,91
mapajo,mapajo,2499,KAPOK TREE,92
bone,bone,1394,BONE,93
daynight,"day,night",1233,NIGHT,94
marihui,marihuí,,,95
tooth,tooth,1380,TOOTH,96
doorway,doorway,1567,DOOR,97
worm,worm,1219,WORM,98
boneassecondmemberofacompound,bone (as second member of a compound),1394,BONE,100
eye,eye,1248,EYE,102
footleg,"foot,leg",2098,FOOT OR LEG,103
liver,liver,1224,LIVER,104
cheek,cheek,1730,CHEEK,105
toroll,to roll,827,ROLL,106
torow,to row,1849,ROW,107
cane,cane,146,SUGAR CANE,108
tograspbreak,"to grasp,break",2021,GRASP,109
general3rdpersonsgandplpronoun,general 3rd person (sg. And pl.) pronoun,,,110
round,round,1395,ROUND,111
undocut,"undo,cut",1432,CUT,112
demonspirit,"demon,spirit",53,SPIRIT,113
old,old,1229,OLD,114
greenunripe,"green,unripe",1425,GREEN,115
corn,corn,506,MAIZE,116
