GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID
do,make	734	MAKE	1
trans. suffix			1
big	1202	BIG	2
fish poison	348	FISH POISON	3
tapir	312	TAPIR	4
wife,woman	962	WOMAN	5
porcupine	2510	PORCUPINE	6
warm	1232	WARM	7
tail,dog	2009	DOG	8
give,take	1447	GIVE	9
suffer	1101	SUFFER	10
I	1209	I	11
mother	1216	MOTHER	12
big,abundant	1202	BIG	13
demonstrative			14
to cough	879	COUGH	15
sun,moon	1343	SUN	16
child	2099	CHILD	17
to plant	1486	PLANT (SOMETHING)	18
lake	624	LAKE	19
sweet	717	SWEET	20
to get,put	694	GET	21
skin	763	SKIN	22
wasp	1517	WASP	23
to bring	692	BRING	24
face,forehead	1560	FACE	25
to descend,go down	2014	GO DOWN (DESCEND)	26
ant	587	ANT	27
nail	1896	FINGERNAIL OR TOENAIL	28
to wet	1726	WET	29
fire	221	FIRE	30
large end			31
go across			32
hop,dance	1879	DANCE	33
swallow	897	SWALLOW	34
fornicate,copulate	549	COPULATE	35
suck,nurse	1421	SUCK	36
leg,knee,ankle	1371	KNEE	37
monkey	1350	MONKEY	38
flute	777	FLUTE	39
pound	354	POUND	40
snake	730	SNAKE	41
imperative suffix			43
pronominal possessive suffix			44
3rd person pronoun	262	HE OR SHE OR IT	45
tongue	1205	TONGUE	46
tree	906	TREE	47
blood	946	BLOOD	48
white	1335	WHITE	49
foot	1301	FOOT	50
pineapple	2440	PINEAPPLE	51
macaw	1630	MACAW	52
desiderative suffix			53
hole	1667	HOLE	54
uncle	1327	UNCLE	55
gray	153	GREY	56
wild turkey sp.			57
to go	695	GO	58
mouth	674	MOUTH	59
sharp	1396	SHARP	60
negative suffix			61
hill,peak	614	HILL	62
earth	1228	EARTH (SOIL)	63
piranha	317	PIRANHA	64
to die	1494	DIE	65
chopper,mortar	224	MORTAR	66
achiote	349	ACHIOTE	67
bad	1292	BAD	68
tell	1711	TELL	69
hand	1277	HAND	70
night	1233	NIGHT	71
thou	1215	THOU	72
to dry	2015	MAKE DRY	73
to get wet,be wet	2324	GET WET	74
water	948	WATER	75
stand,go	1442	STAND	76
delicious (as fruits)	1813	TASTY	77
flesh,meat	634	MEAT	78
put in,to enter	749	ENTER	80
augmentative suffix			81
raw,green,bitter	1425	GREEN	82
toucan	308	TOUCAN	83
arrow	977	ARROW	84
owl	735	OWL	85
butterfly	1791	BUTTERFLY	86
arm	1673	ARM	87
sibling of opposite sex			88
to tie	1917	TIE	89
intestines	1991	INTESTINES	90
hair,feathers	1040	HAIR	91
mapajo	2499	KAPOK TREE	92
bone	1394	BONE	93
day,night	1233	NIGHT	94
marihuí			95
tooth	1380	TOOTH	96
doorway	1567	DOOR	97
worm	1219	WORM	98
bone (as second member of a compound)	1394	BONE	100
eye	1248	EYE	102
foot,leg	2098	FOOT OR LEG	103
liver	1224	LIVER	104
cheek	1730	CHEEK	105
to roll	827	ROLL	106
to row	1849	ROW	107
cane	146	SUGAR CANE	108
to grasp,break	2021	GRASP	109
general 3rd person (sg. And pl.) pronoun			110
round	1395	ROUND	111
undo,cut	1432	CUT	112
demon,spirit	53	SPIRIT	113
old	1229	OLD	114
green,unripe	1425	GREEN	115
corn	506	MAIZE	116
